iter	Passed	Remaining
577	220283	160829
578	220647	160435
579	220984	160023
580	221360	159638
581	221714	159238
582	222072	158840
583	222427	158441
584	222807	158060
585	223153	157654
586	223491	157243
587	223855	156851
588	224211	156453
589	224582	156065
590	224941	155669
591	225297	155272
592	225660	154880
593	226010	154478
594	226351	154070
595	226708	153674
596	227071	153282
597	227395	152864
598	227757	152472
599	228095	152063
600	228466	151677
601	228839	151292
602	229217	150911
603	229552	150501
604	229920	150113
605	230277	149718
606	230633	149322
607	230950	148902
608	231316	148513
609	231688	148128
610	232040	147731
611	232381	147326
612	232756	146943
613	233121	146555
614	233477	146160
615	233831	145765
616	234184	145368
617	234546	144978
618	234907	144587
619	235274	144200
620	235597	143786
621	235957	143395
622	236289	142987
623	236649	142596
624	237032	142219
625	237382	141822
626	237752	141437
627	238142	141065
628	238496	140671
629	238871	140289
630	239210	139886
631	239562	139492
632	239949	139117
633	240302	138723
634	240676	138341
635	241046	137957
636	241391	137558
637	241744	137165
638	242099	136772
639	242468	136388
640	242825	135997
641	243191	135611
642	243562	135228
643	243911	134832
644	244293	134456
645	244669	134075
646	245029	133687
647	245390	133298
648	245776	132923
649	246129	132531
650	246499	132148
651	246866	131762
652	247254	131389
653	247616	131002
654	247979	130615
655	248345	130230
656	248689	129833
657	249068	129454
658	249426	129065
659	249811	128690
660	250201	128317
661	250553	127925
662	250929	127546
663	251320	127174
664	251676	126784
665	252022	126389
666	252400	126010
667	252765	125625
668	253142	125247
669	253486	124851
670	253838	124460
671	254192	124069
672	254579	123696
673	254918	123298
674	255301	122923
675	255658	122534
676	256039	122157
677	256412	121776
678	256782	121394
679	257144	121008
680	257514	120627
681	257886	120246
682	258267	119869
683	258627	119482
684	259025	119113
685	259407	118737
686	259787	118360
687	260171	117984
688	260582	117621
689	260964	117244
690	261325	116858
691	261703	116480
692	262074	116099
693	262448	115719
694	262835	115344
695	263202	114961
696	263584	114585
697	263954	114203
698	264358	113836
699	264736	113458
700	265110	113078
701	265495	112703
702	265853	112316
703	266231	111938
704	266598	111555
705	266958	111169
706	267345	110795
707	267717	110414
708	268078	110029
709	268420	109636
710	268802	109260
711	269202	108891
712	269571	108509
713	269925	108121
714	270306	107744
